year,name,value,lastValue
1993,Impaired.kidney.function,733.2380735,401.8181648
1994,Impaired.kidney.function,695.6002909,401.8181648
1995,Impaired.kidney.function,686.3688117,401.8181648
1996,Impaired.kidney.function,661.5932429,401.8181648
1997,Impaired.kidney.function,635.4690217,401.8181648
1998,Impaired.kidney.function,616.1288066,401.8181648
1999,Impaired.kidney.function,590.0027802,401.8181648
2000,Impaired.kidney.function,562.7522414,401.8181648
2001,Impaired.kidney.function,539.8473813,401.8181648
2002,Impaired.kidney.function,523.3757436,401.8181648
2003,Impaired.kidney.function,507.1238122,401.8181648
2004,Impaired.kidney.function,474.2753953,401.8181648
2005,Impaired.kidney.function,457.9048286,401.8181648
2006,Impaired.kidney.function,444.0916284,401.8181648
2007,Impaired.kidney.function,432.5131629,401.8181648
2008,Impaired.kidney.function,427.1304782,401.8181648
2009,Impaired.kidney.function,410.1600929,401.8181648
2010,Impaired.kidney.function,404.2477087,401.8181648
2011,Impaired.kidney.function,394.4772384,401.8181648
2012,Impaired.kidney.function,392.3436208,401.8181648
2013,Impaired.kidney.function,392.9351347,401.8181648
2014,Impaired.kidney.function,392.6550758,401.8181648
2015,Impaired.kidney.function,397.9193554,401.8181648
2016,Impaired.kidney.function,400.8785121,401.8181648
2017,Impaired.kidney.function,401.8181648,401.8181648
1990,Intimate.partner.violence,179.1749738,156.0935173
1991,Intimate.partner.violence,179.4649545,156.0935173
1992,Intimate.partner.violence,179.3300113,156.0935173
1993,Intimate.partner.violence,180.5408439,156.0935173
1994,Intimate.partner.violence,178.9941394,156.0935173
1995,Intimate.partner.violence,176.6848972,156.0935173
1996,Intimate.partner.violence,173.1854751,156.0935173
1997,Intimate.partner.violence,169.7671021,156.0935173
1998,Intimate.partner.violence,166.4760219,156.0935173
1999,Intimate.partner.violence,164.6670173,156.0935173
2000,Intimate.partner.violence,164.2682715,156.0935173
2001,Intimate.partner.violence,163.8519837,156.0935173
2002,Intimate.partner.violence,161.7353656,156.0935173
2003,Intimate.partner.violence,160.2482548,156.0935173
2004,Intimate.partner.violence,157.3447115,156.0935173
2005,Intimate.partner.violence,155.9464694,156.0935173
2006,Intimate.partner.violence,155.5555894,156.0935173
2007,Intimate.partner.violence,156.0417387,156.0935173
2008,Intimate.partner.violence,156.6668645,156.0935173
2009,Intimate.partner.violence,157.0823669,156.0935173
2010,Intimate.partner.violence,156.9337712,156.0935173
2011,Intimate.partner.violence,156.0054702,156.0935173
2012,Intimate.partner.violence,155.5153172,156.0935173
2013,Intimate.partner.violence,155.3517454,156.0935173
2014,Intimate.partner.violence,155.5015608,156.0935173
2015,Intimate.partner.violence,156.154787,156.0935173
2016,Intimate.partner.violence,155.8006718,156.0935173
2017,Intimate.partner.violence,156.0935173,156.0935173
1990,Low.bone.mineral.density,208.4973398,234.0652506
1991,Low.bone.mineral.density,207.0310245,234.0652506
1992,Low.bone.mineral.density,205.7224697,234.0652506
1993,Low.bone.mineral.density,205.5784335,234.0652506
1994,Low.bone.mineral.density,203.9483095,234.0652506
1995,Low.bone.mineral.density,204.7130557,234.0652506
1996,Low.bone.mineral.density,204.8771549,234.0652506
1997,Low.bone.mineral.density,205.7194045,234.0652506
1998,Low.bone.mineral.density,206.5562348,234.0652506
1999,Low.bone.mineral.density,208.3213122,234.0652506
2000,Low.bone.mineral.density,210.027752,234.0652506
2001,Low.bone.mineral.density,212.717772,234.0652506
2002,Low.bone.mineral.density,216.0820146,234.0652506
2003,Low.bone.mineral.density,219.8549747,234.0652506
2004,Low.bone.mineral.density,220.8564927,234.0652506
2005,Low.bone.mineral.density,222.4808321,234.0652506
2006,Low.bone.mineral.density,223.7092003,234.0652506
2007,Low.bone.mineral.density,224.4258136,234.0652506
2008,Low.bone.mineral.density,226.2514345,234.0652506
2009,Low.bone.mineral.density,225.5545343,234.0652506
2010,Low.bone.mineral.density,226.384445,234.0652506
2011,Low.bone.mineral.density,226.2527169,234.0652506
2012,Low.bone.mineral.density,227.2143202,234.0652506
2013,Low.bone.mineral.density,228.8449135,234.0652506
2014,Low.bone.mineral.density,230.3507194,234.0652506
2015,Low.bone.mineral.density,232.5548134,234.0652506
2016,Low.bone.mineral.density,234.0029676,234.0652506
2017,Low.bone.mineral.density,234.0652506,234.0652506
1990,Low.physical.activity,682.4462855,260.866399
1991,Low.physical.activity,658.4720571,260.866399
1992,Low.physical.activity,637.057443,260.866399
1993,Low.physical.activity,626.4952485,260.866399
1994,Low.physical.activity,589.6571771,260.866399
1995,Low.physical.activity,579.8393362,260.866399
1996,Low.physical.activity,554.0459167,260.866399
1997,Low.physical.activity,529.801371,260.866399
1998,Low.physical.activity,511.7504061,260.866399
1999,Low.physical.activity,487.3411689,260.866399
2000,Low.physical.activity,460.8210021,260.866399
2001,Low.physical.activity,438.6084037,260.866399
2002,Low.physical.activity,424.7193368,260.866399
2003,Low.physical.activity,409.8150522,260.866399
2004,Low.physical.activity,377.0631973,260.866399
2005,Low.physical.activity,357.4453999,260.866399
2006,Low.physical.activity,338.9246106,260.866399
2007,Low.physical.activity,321.7385731,260.866399
2008,Low.physical.activity,311.9153017,260.866399
2009,Low.physical.activity,290.9508526,260.866399
2010,Low.physical.activity,281.4242354,260.866399
2011,Low.physical.activity,267.8748084,260.866399
2012,Low.physical.activity,262.2188879,260.866399
2013,Low.physical.activity,258.8079305,260.866399
2014,Low.physical.activity,254.0320615,260.866399
2015,Low.physical.activity,255.7318065,260.866399
2016,Low.physical.activity,257.3223485,260.866399
2017,Low.physical.activity,260.866399,260.866399
1990,Occupational.risks,771.1482259,915.376066
1991,Occupational.risks,766.0065416,915.376066
1992,Occupational.risks,762.4949107,915.376066
1993,Occupational.risks,764.1170364,915.376066
1994,Occupational.risks,756.5629666,915.376066
1995,Occupational.risks,759.9266147,915.376066
1996,Occupational.risks,765.5717519,915.376066
1997,Occupational.risks,774.1402134,915.376066
1998,Occupational.risks,786.8986499,915.376066
1999,Occupational.risks,799.3769418,915.376066
2000,Occupational.risks,811.6340893,915.376066
2001,Occupational.risks,826.2543158,915.376066
2002,Occupational.risks,850.6413503,915.376066
2003,Occupational.risks,876.749115,915.376066
2004,Occupational.risks,888.4478826,915.376066
2005,Occupational.risks,901.0618859,915.376066
2006,Occupational.risks,905.7645315,915.376066
2007,Occupational.risks,905.6733504,915.376066
2008,Occupational.risks,909.0577962,915.376066
2009,Occupational.risks,899.9985441,915.376066
2010,Occupational.risks,903.030284,915.376066
2011,Occupational.risks,899.8417419,915.376066
2012,Occupational.risks,902.0301796,915.376066
2013,Occupational.risks,904.628291,915.376066
2014,Occupational.risks,904.320559,915.376066
2015,Occupational.risks,908.3102261,915.376066
2016,Occupational.risks,913.6635926,915.376066
2017,Occupational.risks,915.376066,915.376066
1990,Other.environmental.risks,176.6521592,85.56732911
1991,Other.environmental.risks,172.9540008,85.56732911
1992,Other.environmental.risks,169.449193,85.56732911
1993,Other.environmental.risks,168.0781165,85.56732911
1994,Other.environmental.risks,161.68126,85.56732911
1995,Other.environmental.risks,160.0693914,85.56732911
1996,Other.environmental.risks,155.5253795,85.56732911
1997,Other.environmental.risks,151.0133603,85.56732911
1998,Other.environmental.risks,147.9966538,85.56732911
1999,Other.environmental.risks,143.246054,85.56732911
2000,Other.environmental.risks,137.8333289,85.56732911
2001,Other.environmental.risks,133.4433493,85.56732911
2002,Other.environmental.risks,130.0292285,85.56732911
2003,Other.environmental.risks,126.5283681,85.56732911
2004,Other.environmental.risks,119.7259954,85.56732911
2005,Other.environmental.risks,115.6522672,85.56732911
2006,Other.environmental.risks,112.0866404,85.56732911
2007,Other.environmental.risks,108.2173134,85.56732911
2008,Other.environmental.risks,105.8242464,85.56732911
2009,Other.environmental.risks,100.8393408,85.56732911
2010,Other.environmental.risks,98.38174049,85.56732911
2011,Other.environmental.risks,94.65353187,85.56732911
2012,Other.environmental.risks,92.31427822,85.56732911
2013,Other.environmental.risks,90.34121978,85.56732911
2014,Other.environmental.risks,88.1193744,85.56732911
2015,Other.environmental.risks,87.24066853,85.56732911
2016,Other.environmental.risks,86.62424636,85.56732911
2017,Other.environmental.risks,85.56732911,85.56732911
1990,Tobacco,6202.254666,2795.968056
1991,Tobacco,5969.906927,2795.968056
1992,Tobacco,5767.132953,2795.968056
1993,Tobacco,5646.65906,2795.968056
1994,Tobacco,5380.68414,2795.968056
1995,Tobacco,5284.543252,2795.968056
1996,Tobacco,5088.707956,2795.968056
1997,Tobacco,4901.91038,2795.968056
1998,Tobacco,4751.944001,2795.968056
1999,Tobacco,4579.781419,2795.968056
2000,Tobacco,4407.324223,2795.968056
2001,Tobacco,4266.395698,2795.968056
2002,Tobacco,4169.019194,2795.968056
2003,Tobacco,4075.584931,2795.968056
2004,Tobacco,3881.982884,2795.968056
2005,Tobacco,3776.52118,2795.968056
2006,Tobacco,3668.605267,2795.968056
2007,Tobacco,3547.831731,2795.968056
2008,Tobacco,3469.654634,2795.968056
2009,Tobacco,3317.594281,2795.968056
2010,Tobacco,3247.530943,2795.968056
2011,Tobacco,3143.280748,2795.968056
2012,Tobacco,3067.177226,2795.968056
2013,Tobacco,3002.516771,2795.968056
2014,Tobacco,2924.09957,2795.968056
2015,Tobacco,2881.801048,2795.968056
2016,Tobacco,2848.500154,2795.968056
2017,Tobacco,2795.968056,2795.968056
1990,Unsafe.sex,387.6591052,202.0093851
1991,Unsafe.sex,369.7821249,202.0093851
1992,Unsafe.sex,353.7183731,202.0093851
1993,Unsafe.sex,344.0885373,202.0093851
1994,Unsafe.sex,323.6710006,202.0093851
1995,Unsafe.sex,320.1268008,202.0093851
1996,Unsafe.sex,304.2312617,202.0093851
1997,Unsafe.sex,288.9724762,202.0093851
1998,Unsafe.sex,272.8945129,202.0093851
1999,Unsafe.sex,261.2027941,202.0093851
2000,Unsafe.sex,253.6266327,202.0093851
2001,Unsafe.sex,253.1195554,202.0093851
2002,Unsafe.sex,246.8860184,202.0093851
2003,Unsafe.sex,249.582686,202.0093851
2004,Unsafe.sex,237.90868,202.0093851
2005,Unsafe.sex,232.174319,202.0093851
2006,Unsafe.sex,228.3960644,202.0093851
2007,Unsafe.sex,226.2266908,202.0093851
2008,Unsafe.sex,227.5417205,202.0093851
2009,Unsafe.sex,219.3651054,202.0093851
2010,Unsafe.sex,217.5790638,202.0093851
2011,Unsafe.sex,207.7381012,202.0093851
2012,Unsafe.sex,202.0643608,202.0093851
2013,Unsafe.sex,200.7823968,202.0093851
2014,Unsafe.sex,197.0464768,202.0093851
2015,Unsafe.sex,200.3684979,202.0093851
2016,Unsafe.sex,200.3315461,202.0093851
2017,Unsafe.sex,202.0093851,202.0093851
1990,Unsafe.water..sanitation..and.handwashing,8.645679908,6.379863173
1991,Unsafe.water..sanitation..and.handwashing,8.357274601,6.379863173
1992,Unsafe.water..sanitation..and.handwashing,7.979203128,6.379863173
1993,Unsafe.water..sanitation..and.handwashing,7.93661228,6.379863173
1994,Unsafe.water..sanitation..and.handwashing,7.691975814,6.379863173
1995,Unsafe.water..sanitation..and.handwashing,7.662405639,6.379863173
1996,Unsafe.water..sanitation..and.handwashing,7.585837757,6.379863173
1997,Unsafe.water..sanitation..and.handwashing,7.475109305,6.379863173
1998,Unsafe.water..sanitation..and.handwashing,7.320323604,6.379863173
1999,Unsafe.water..sanitation..and.handwashing,7.163919126,6.379863173
2000,Unsafe.water..sanitation..and.handwashing,6.898518814,6.379863173
2001,Unsafe.water..sanitation..and.handwashing,6.578767275,6.379863173
2002,Unsafe.water..sanitation..and.handwashing,6.569091328,6.379863173
2003,Unsafe.water..sanitation..and.handwashing,6.702039632,6.379863173
2004,Unsafe.water..sanitation..and.handwashing,6.629854807,6.379863173
2005,Unsafe.water..sanitation..and.handwashing,6.723062845,6.379863173
2006,Unsafe.water..sanitation..and.handwashing,6.861849544,6.379863173
2007,Unsafe.water..sanitation..and.handwashing,6.938625874,6.379863173
2008,Unsafe.water..sanitation..and.handwashing,6.950381656,6.379863173
2009,Unsafe.water..sanitation..and.handwashing,6.841900898,6.379863173
2010,Unsafe.water..sanitation..and.handwashing,6.71550887,6.379863173
2011,Unsafe.water..sanitation..and.handwashing,6.530727437,6.379863173
2012,Unsafe.water..sanitation..and.handwashing,6.37512693,6.379863173
2013,Unsafe.water..sanitation..and.handwashing,6.31186689,6.379863173
2014,Unsafe.water..sanitation..and.handwashing,6.294972293,6.379863173
2015,Unsafe.water..sanitation..and.handwashing,6.337872158,6.379863173
2016,Unsafe.water..sanitation..and.handwashing,6.372244739,6.379863173
2017,Unsafe.water..sanitation..and.handwashing,6.379863173,6.379863173
1990,Grand.Total,29341.70281,16326.29574
1991,Grand.Total,28506.04338,16326.29574
1992,Grand.Total,27730.75501,16326.29574
1993,Grand.Total,27410.63185,16326.29574
1994,Grand.Total,26228.67884,16326.29574
1995,Grand.Total,25963.29625,16326.29574
1996,Grand.Total,25181.15622,16326.29574
1997,Grand.Total,24423.6108,16326.29574
1998,Grand.Total,23888.98493,16326.29574
1999,Grand.Total,23179.87755,16326.29574
2000,Grand.Total,22376.74095,16326.29574
2001,Grand.Total,21707.05429,16326.29574
2002,Grand.Total,21284.12036,16326.29574
2003,Grand.Total,20879.55109,16326.29574
2004,Grand.Total,19827.9329,16326.29574
2005,Grand.Total,19259.80526,16326.29574
2006,Grand.Total,18724.04721,16326.29574
2007,Grand.Total,18185.25602,16326.29574
2008,Grand.Total,17920.39116,16326.29574
2009,Grand.Total,17247.598,16326.29574
2010,Grand.Total,16979.30168,16326.29574
2011,Grand.Total,16548.37859,16326.29574
2012,Grand.Total,16305.33935,16326.29574
2013,Grand.Total,16209.75113,16326.29574
2014,Grand.Total,16070.48634,16326.29574
2015,Grand.Total,16160.10623,16326.29574
2016,Grand.Total,16255.94105,16326.29574
2017,Grand.Total,16326.29574,16326.29574